金莎国际娱乐会所,230202,龙华路,2456789
吉星量贩KTV,230231,人民街,7332966
乾缘音乐城,230206,旧物交易中心1室外55号,13796874638
樱花阁音乐厅,230206,红岸办事处体育场商贸中心01区00单元01楼06号,18745242322
COCO盛会,230202,龙华路中环广场地下,2449333
金烛娱乐会所,230202,南市郊红绿灯往南走100米道东,2559333
金碧辉煌KTV,230207,春华园,6671116
金海岸练歌广场,230202,南马路阳光石火浴西100米,8983905
威尼斯音乐俱乐部,230203,东四道街126号,5998999
索丽仙练歌广场,230204,龙南街，国税局南走20米,2476779
鲜汉楼量贩式KTV,230206,春阳街,6885678
灿煜练歌广场,230202,百花电子城北50米,18745277710
爱歌KTV,230229,克山镇政府东,4530333
名人歌城(民意路店),230202,民意路15号,6193123
钱柜练歌广场(铁东店),230204,先锋街99号,2634555
新天地量贩式ktv,230202,龙南街,8071111
天地人间俱乐部,230202,龙南街128号,2222225
金柜KTV,230204,建设路曲艺厅东走50米,8888787
鑫步步高练歌厅,230202,南马路青云小区2885777
钱柜KTV,230203,锦阳名苑舒水商服楼1号,2658888
梦幻乌托邦KTV慢摇吧,230202,南苑高新技术产业开发区喜庆路市工程学院附近,18714314066
钻石成KTV(龙南店),230204,龙南街,8888239
好声音KTV,230206,光明街26号兴隆大家庭商场5楼好声音KTV,6015666
金典KTV,230203,泰安大街,7036444
久龍城罗曼蒂克,230206,文治路春阳街交叉口罗曼蒂克酒吧,6710777
金烛KTV(会员俱乐部),230202,雄鹰街40号,8981111
步步高KTV,230202,南马路321号,2885199
钱柜练歌广场(合意店),230202,消防支队南50米,2819567
金莎国际娱乐会所,230202,龙华路112号金莎娱乐会所4楼,2456799
东方之珠练歌广场,230202,昊方名苑1号楼,2812333
往日情怀演歌厅,230225,齐查公路,5793048
金樽KTV,230229,文明街与北大街交叉口北,4851777
金烛KTV会馆,230202,永安南大街南市郊交通岗南一百米锦绣花园斜对面,2559333
金缘练歌广场(文化大街店),230203,文化大街17号,2724567
金钱柜KTV,230229,克山镇社区卫生服务中心西1500米,4459999
名仁娱乐会所,230227,新华街,8907999
金沙盛世音乐会馆,230223,北新路,7720999
钻石城KTV,230203,中华路405号,2696588
千卉练歌广场,230227,朝阳路,3224888
钻石成KTV(建华店),230221,运建南门,2696588
金典KTV音乐大世界,230230,黑大公路,4266777
金柜KTV,230204,瑞盛府城对面,8888787
金典KTV,230227,旧物市场久龙城左侧,15164631812
雅乐迪KTV,230202,新马路小学对面,2901555
金海岸娱乐有限公司,230203,中华路,2186789
东方之珠KTV,230203,东市场小区7号楼,2576500
龙昇KTV,230281,农乐街81号,3399555
红夜醉美,230224,平洋镇长发村,8998888
华歌慢摇吧KTV,230206,火车站东走100米,15845629161
金家圆KTV,230204,建设路和城乡路交叉口,5968883
秀·主题KTV,230202,正阳路十道街林业局斜对面,5041111
荷塘月色休闲娱乐港,230202,龙沙公园2号门花鸟鱼市场圆弧1楼,2479599
天阙视听歌城,230202,通江路,3339999
七星练歌厅,230203,中华路,2907005
西来顺,230202,老海关对面,5977788
东方之珠KTV(一分店),230202,东西道街139号,2918118
乐百星练歌广场,230203,中华路88号,2559000
金缘练歌广场,230202,龙沙路100号,2470503
白云歌城,230203,东四道街,2385555
芒果KTV,230225,文明大街鑫迪家园,15904628078
鹏远迪吧,230224,230224G111,8792162
夜色练歌广场,230202,南马路107号,2225858
珈铯KTV,230223,妇幼北走50米,7033339
万家灯火量贩式KTV,230231,南二道街路口,7464444
名爵KTV练歌广场,230203,泰安大街18号,5936333
阿里郎ktv,230206,春阳街明珠城20号,13845214445
天地人间KTV,230230,薄峪路,4629999
嘻乐汇KTV,230206,火车站旧物市场后门,15845627350
欢乐练歌厅(ktv),230206,春阳街明珠城42号,15545021116
香雪歌厅,230230,东二街,4607888
音乐天外天ktv,230206,火车站旧物市场后门,18686990815
久龍城YY音乐俱乐部,230206,五百建设银行对面,6786789
后街男孩KTV,230203,白云大厦北走150米,13846241509
靓点练歌广场(东四道街店),230203,东四道街,2687766
金家园KTV,230202,民航路小学南走200米路东,8888389
芭娜娜慢摇KTV,230231,县直街,7123888
冲击波练歌厅,230203,文明大街1号,8151563
东方之珠练歌广场一部,230203,东四道街103号,2918118
金钻艺苑,230207,春华园,6682111
阿萨帝KTV,230202,育才街,3564888
东方金柜,230225,文明大街,5630111
百度练歌广场,230202,斜阳街42号,5999031
豪门KTV,230229,友谊路二段,4532888
天上人间KTV,230231,县直街,7422000
意中缘音乐广场,230202,正阳路80号,5829298
天泰KTV练歌广场,230203,英泰街27号,5984444
百乐门歌厅,230230,南大街,4681789
东方之珠KTV,230224,建设路,8228860
