银河KTV,城区园林北路,6231811
巴黎之春夜总会,城区东风路77号实验小学对面,6232250
宝马会音乐会所,城区东风路潜江图书馆西侧,6251600
地平线音乐会所,城区中英南街商铺11号,6296185
红点音乐会所,城区潜阳西路16-3号,6483344
维也纳KTV,城区东风路83号,8152952
飞歌量贩式KTV,城区江汉路中百仓储4楼,6637777
新众鑫娱乐城,城区横堤路14-1号附近,6491441
贵族神话音乐会所,城区章华中路5号附近,6298896
皇家壹号白金伯爵公館,城区建设街88号钻石国际大酒店4楼,6278888
蓝岛会所,城区建设路中心邮政支局对面,6275555
乐豪夜总会,城区潜阳中路35号附近,6290516
琴舞飞扬KTV,城区东方居委会2组4号,13972614621
音皇音乐休闲会所,城区章华中路9号附近,6233789
金都KTV,城区横堤路68号附近,6290655
珍爱KTV,城区广华商场5楼,6502020
凤舞九天音乐会所,城区横堤路14-1号附近,6491509
海豚KTV,城区东方路18号,6230636
云端音乐会所,城区潜阳西路13号,6986666
缘园KTV,城区直辖县级行政单位429005,6583366
乐钻国际音乐会所,城区杨市镇森林路,6401555
恋歌坊KTV,城区建设街80号附近,6298333
欢乐谷歌厅,城区东方路16号,6250616
欢乐园KTV,城区江汉路14号,13477414821
天籁之音顶级音乐会所,城区东方路24号,6491958
东方之醉KTV,城区东方居委会2组3号,13545969986
九歌坊音乐会所,城区东风路96号附近,6294388
